	ethnicity	MX00384	MX00028	MX00049	MX00027	MX00395	MX00398	MX00102	MX00178	MX00020	MX00179	MX00092	MX00402	MX00001	MX00180	MX00087	MX00085	MX00101	MX00030	MX00023
I2_9.txt	ind	6.672626636	7.005268264	5.71450998	5.990721026	6.455804884	6.863063158	6.439860317	6.465828964	7.618250054	6.595708137	6.860438033	0	7.325748654	6.826810859	7.078863878	7.365405836	6.564005008	7.54359366	0
I3_1.txt	ind	6.932329094	7.963119137	0	6.350294547	0	0	0	6.604687867	6.860075793	6.718517134	6.391394581	0	0	6.989112842	6.613188833	7.028329314	6.439273468	7.256791228	7.898482699
I3_10.txt	ind	7.803988446	6.117713984	6.197027904	6.006563587	7.516517975	8.100738044	6.801537271	7.470407433	6.418309911	7.270571332	7.517038718	8.180109582	6.583138331	8.006861601	8.253742043	8.317581055	8.482046528	7.005390528	0
I3_2.txt	ind	8.189172216	7.824651897	6.780805493	6.581190714	8.108098221	8.060934112	6.566700582	7.213604607	7.105809762	7.238432654	7.625754404	8.358004068	6.33068421	7.665965973	7.837450957	7.937553898	7.897539371	7.617108209	8.171371612
I3_3.txt	ind	7.958951775	7.874329701	6.922417711	6.711704251	8.332216054	8.394177677	6.760745897	7.13064548	7.160079503	6.958175711	7.159865353	8.124085571	6.837810137	7.685765745	7.243236389	7.296900589	8.023298406	7.498909371	0
I3_4.txt	ind	7.816955925	8.088432364	6.813845421	6.599857537	7.513076458	7.821778511	6.899321488	7.469779851	7.085396623	7.138538606	7.208283439	8.051743263	6.80560225	7.972649228	7.282469732	7.249124044	8.221064959	7.311047739	7.900274513
I3_5.txt	ind	7.422278484	7.893346116	7.108246763	6.965353372	8.191499421	8.155305217	6.831123734	6.938146262	7.423361135	6.887152041	7.162382915	7.65942419	7.378895455	7.548025884	7.232863059	7.346760375	7.832544875	7.869107423	8.233961487
I3_5_2.txt	ind	6.491808927	7.258370327	6.628979577	6.653628851	0	7.61285283	6.582352493	6.537963458	7.188866554	6.984269856	6.574238058	7.147452226	7.232009981	6.310676535	6.768215883	7.283623347	6.74355476	7.439143047	7.91566123
I3_6.txt	ind	6.981034494	0	6.647273502	7.869257436	6.773140079	7.183858348	6.823126393	6.284514652	8.067466546	6.903563381	0	7.026423104	7.502708269	0	0	7.273643807	6.509247966	0	0
I3_6_2.txt	ind	7.552383179	7.647729671	7.07271891	6.88661981	7.959834358	8.406186516	6.977642773	7.287767186	7.2501904	7.563493295	0	8.131820965	6.88484066	7.995338962	6.670213373	7.583794075	8.300623453	7.885648494	8.150649676
I3_7.txt	ind	7.700272054	8.445545378	7.188786085	6.982182556	7.631247156	7.868202356	7.019437508	7.110590485	7.43196067	7.122957479	7.233934771	8.18687604	7.294487852	7.524753161	7.29647046	7.428416848	8.107569464	7.922704314	8.110068473
I3_8.txt	ind	8.215801232	8.229700647	6.44136831	6.354408114	7.462348905	8.362749506	7.269737178	6.826522414	6.892131906	6.849087454	7.57456998	5.500838634	6.728322853	7.406307575	7.727813248	7.883412652	7.960268396	0	0
I3_9.txt	ind	8.72461166	6.744334454	0	6.390696179	7.704510583	8.48543256	7.171781022	7.479257282	6.654745759	7.725934244	7.578662081	6.008260693	6.76198847	7.969439984	8.319966305	8.51479785	7.491755882	7.553952496	7.684747742
I4_1.txt	ind	7.627162172	7.549921045	0	6.734966317	7.219285237	5.862306732	0	0	8.270380076	6.716418231	7.423221077	8.513194555	6.309712335	7.368477877	7.649655213	7.788148735	0	7.596326033	0
I4_10.txt	ind	6.716444513	7.309406746	5.419645191	5.943859902	6.902181416	0	6.250348021	0	6.551390827	6.414011658	6.471793061	7.307640379	6.771083819	6.317448415	6.685302924	7.011295529	6.414598858	6.903986531	7.449820825
I4_2.txt	ind	7.381324539	7.538751462	6.573050276	6.553753568	7.577794356	7.54765455	7.053136397	6.954788219	7.006362612	6.617824927	7.43755913	8.091362796	6.38796773	7.390348732	7.623103064	7.73650033	7.358254793	7.60040036	8.163157834
I4_3.txt	ind	7.101077387	8.198085355	6.431994481	6.430599055	7.102278896	7.441132246	6.500916209	6.683607025	0	6.522722719	6.511681401	0	6.991936408	7.119708132	6.718439322	6.933864272	6.837499424	7.45619702	7.952104944
I4_3_2.txt	ind	7.101077387	8.198085355	6.431994481	6.430599055	7.102278896	7.441132246	6.500916209	6.683607025	6.897044306	6.522722719	6.511681401	6.895468515	6.991936408	7.119708132	6.718439322	0	6.837499424	7.45619702	7.952104944
I4_4.txt	ind	7.347778444	8.257318167	6.34354093	6.514178379	7.380762952	6.752552552	6.899633398	6.83764613	7.023368201	6.683498218	6.862474325	7.060663813	7.121564079	7.292625995	7.04564803	7.218849953	7.352865175	7.365854023	7.938947495
I4_5.txt	ind	0	7.296584685	6.322462845	0	0	0	6.235559503	6.343493475	7.648690915	0	0	0	7.006685188	6.650609481	6.290367888	6.787702139	0	7.122139764	0
I4_6.txt	ind	0	7.61908501	7.09274727	6.911375341	7.776930189	7.697215956	6.963050081	7.272947555	7.287146077	7.322360893	7.435703245	8.01092714	7.010204647	8.022257618	6.600085441	7.567122277	8.205528464	7.886978576	8.07496318
I4_6_1.txt	ind	7.401573776	8.227837231	6.92370072	6.777900735	7.225390601	7.321785238	7.053575714	6.720195286	7.188803856	6.499381182	7.174147443	7.450916777	7.185966214	7.08688956	7.35163073	7.577285036	7.308331155	7.933348626	7.298808663
I4_8.txt	ind	7.236138177	7.738062396	6.209648231	6.247468996	0	7.585066234	6.762999628	6.549861188	6.812115995	6.484980223	7.059503855	7.457970275	6.659265792	7.114717243	7.248121662	7.400957283	7.067951948	6.892381643	7.579630298
I4_9.txt	ind	7.668327609	8.033036208	6.214117386	6.331129769	7.351545511	7.805361236	7.015101408	6.636995113	6.814778083	6.46799266	0	0	6.53814614	6.854584083	7.045598297	0	7.327273661	7.151182883	7.734723689
V10_1.txt	viet	8.6860691	9.004094314	0	0	9.001794428	8.034023135	0	0	0	0	0	9.415587197	0	0	0	0	0	0	0
V10_10.txt	viet	8.767902309	9.00756531	0	0	8.758532256	8.155015352	0	0	0	0	0	8.672085169	0	0	0	0	0	0	0
V10_2.txt	viet	8.884794871	0	0	0	9.172034533	0	0	0	0	0	0	9.380122308	0	0	0	0	0	0	0
V10_3.txt	viet	8.741695602	8.921371477	0	0	9.014831692	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V10_4.txt	viet	0	0	0	0	8.908553234	7.985288749	0	0	0	0	0	8.90458751	0	0	0	0	0	0	0
V10_5.txt	viet	8.822842682	8.545977066	0	0	8.785696783	0	0	0	0	0	0	8.473740256	0	0	0	0	0	0	0
V10_6.txt	viet	8.98451876	8.658199528	0	0	9.211246122	8.867985924	0	0	0	0	0	9.43086317	0	0	0	0	0	0	0
V10_7.txt	viet	9.03998578	8.416734942	0	0	9.323815815	9.239094129	0	0	0	0	8.722196406	9.782127169	0	0	0	0	0	0	0
V10_8.txt	viet	9.060645373	8.451425129	0	0	9.145566259	8.934677418	0	0	0	0	8.844449025	9.273103172	0	0	0	0	0	0	0
V10_9.txt	viet	8.27938827	8.457621308	0	0	8.415598214	8.43787352	0	0	0	0	0	9.01417116	0	0	0	0	0	0	0
V1_1.txt	viet	7.461805816	7.30490769	0	0	7.653869095	7.43171389	6.932246208	0	7.759098637	0	6.399023004	7.878181367	0	6.600262205	6.890985068	6.464694425	7.230658252	0	6.141601515
V1_10.txt	viet	6.489166611	7.24080603	6.420472796	6.361527637	6.728275683	6.632235735	6.665248906	6.903298398	6.886637458	6.87853811	6.241050145	7.215960772	7.317367217	6.79055129	6.313999597	6.763999239	6.840506941	7.314394842	7.994384593
V1_2.txt	viet	6.878180602	6.581084302	6.028510252	5.818292551	0	0	6.294678251	0	0	0	6.883326758	0	7.09837393	6.338438564	7.051504679	6.719763212	7.17207565	6.892757231	7.233680562
V1_3.txt	viet	0	0	0	0	0	7.242317068	0	0	0	0	0	7.896545793	0	0	0	0	0	0	0
V1_4.txt	viet	7.476264285	0	0	0	0	7.688203386	0	0	0	0	0	0	0	0	0	0	7.412772724	0	0
V1_5.txt	viet	0	0	0	0	0	0	0	0	6.997627757	0	0	0	0	0	0	0	0	6.518246437	0
V1_6.txt	viet	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
V1_7.txt	viet	0	6.968740554	6.282500666	6.340103486	0	0	0	0	0	0	0	0	7.717380535	0	0	0	0	7.246827501	7.701497637
V1_8.txt	viet	0	7.390807536	6.679626645	6.543245457	6.908137498	7.54064333	0	0	6.956489229	0	0	6.220521517	7.602830224	0	0	0	0	0	7.982365822
V1_9.txt	viet	7.121260199	7.423926723	6.646701356	6.635051952	7.369194068	7.369809285	7.20288034	6.982860659	7.175936246	6.78681493	0	7.610849604	7.423814607	6.869225205	6.460006701	6.678657932	6.899001901	7.588672877	8.032044964
V2_1.txt	viet	0	6.909691805	0	0	7.128938925	6.83581558	6.715112377	0	0	0	6.44162225	6.839453975	0	0	7.057531573	0	7.178690535	7.095115907	0
V2_10.txt	viet	6.784321458	7.163427388	0	6.363747323	6.749894549	7.179847998	6.53841034	6.362840281	6.906321409	6.777844603	6.682779171	0	7.142088798	6.580548652	6.999504622	7.302853024	6.645812959	7.407723527	7.809877468
V2_2.txt	viet	7.455959079	0	6.451668255	6.337778226	6.777257349	0	6.321191697	0	0	0	0	7.395292382	0	0	6.877311958	6.494166565	6.635383506	0	7.673311686
V2_3.txt	viet	7.380483803	0	6.198344172	0	7.550917087	7.370483556	6.533031679	0	0	0	6.918765392	7.580147029	0	0	0	0	7.200526872	0	7.147754923
V2_4.txt	viet	6.69728646	6.981697767	6.258382473	6.192097503	0	7.42906822	6.643120709	0	6.701425845	0	6.769516677	7.286746883	0	0	6.997839797	6.582217499	7.204011911	7.110123519	7.561825169
V2_5.txt	viet	7.421928326	7.04480496	6.279865114	0	7.45960934	7.521572893	6.861510157	7.189773594	6.672584088	7.168765667	6.768791224	7.644457783	6.814085838	7.021763635	7.401731392	7.08293401	7.585972298	7.38455338	7.730131323
V2_6.txt	viet	6.925965054	7.157077736	6.53693778	6.450264201	7.5683154	7.731247392	7.174440238	7.347633076	6.274728294	7.352401772	6.924772964	7.776295249	7.17543031	7.249853977	7.896175002	0	0	7.375284506	0
V2_7.txt	viet	7.633475495	7.570404959	6.848637841	6.901687178	7.687218272	7.865618785	7.144813082	7.175933321	0	7.202028059	0	7.931157626	7.71170695	7.085101403	7.610192928	7.232972135	7.690503345	7.923341268	8.359612736
V2_8.txt	viet	7.507890965	7.484963461	6.485701698	0	7.354914978	7.181657144	7.285963061	6.907016392	7.023504319	7.021076947	6.491289259	6.949760268	7.432694348	6.70085604	7.098450655	0	7.485323453	7.636996505	8.099785132
V2_9.txt	viet	0	7.334292711	6.218626608	6.460322811	0	0	0	6.312405449	7.040007012	6.693617219	0	0	7.234331454	0	0	6.843289663	0	7.500780484	7.942136947
V3_1.txt	viet	7.143293846	7.465818563	0	0	0	7.062607816	6.708938176	6.993589904	0	7.000464924	6.916816131	7.233268056	7.005996237	7.382576903	7.810874322	7.402747726	7.246579425	7.334715013	7.605867164
V3_10.txt	viet	7.480521033	7.523003044	6.425505201	6.487843849	7.481946061	7.380390243	6.879196324	7.371895098	6.973358338	7.521693508	7.240997015	7.711869164	7.459367379	7.525917975	7.452690193	7.703042667	7.784105336	7.814891453	8.154485297
V3_2.txt	viet	7.135898116	0	0	0	7.337616378	7.730781953	6.809481467	6.560608466	6.622909063	6.843426392	6.359811965	6.86601279	0	7.02215224	7.031225537	6.795453574	0	0	7.722079341
V3_3.txt	viet	7.036383937	7.610559582	6.267835105	6.330099913	6.792379501	6.753371375	6.505252704	7.141273072	0	7.083332488	6.541789726	5.88270209	7.516340989	7.091405775	7.520600691	7.278237238	0	7.644999334	7.883019028
V3_4.txt	viet	7.037783628	7.555441334	6.377843686	6.341122591	7.273072328	0	6.801825176	7.054008988	0	6.861048231	6.827495019	0	0	7.623555825	7.792763266	0	7.550290508	0	6.275756019
V3_5.txt	viet	7.065676272	7.243696287	6.338040328	6.285872902	6.953943757	7.408830018	6.672931918	7.502312208	6.801655843	7.336290206	6.835325865	0	7.592515641	7.571279215	7.498592726	7.127229494	7.63616384	0	6.340053868
V3_6.txt	viet	7.13583097	7.604813444	6.287213691	6.398440201	6.88987034	7.039798032	6.701595441	7.013416811	6.988347466	7.216093795	7.061069588	7.064053195	7.109822352	7.404408173	7.337080771	7.594009373	6.964245814	7.746742829	8.004484118
V3_7.txt	viet	6.725069984	7.407603155	6.181641823	6.068733766	6.152421059	6.361764655	6.211770961	7.195054058	6.410660844	7.288999468	6.892885356	0	7.454600108	7.473158899	7.062921654	7.189599758	7.193957061	7.517172123	7.728002202
V3_8.txt	viet	7.280602383	7.800157199	6.335466326	0	7.287652477	7.045086243	6.949877509	7.237911602	6.934545918	7.37939681	7.000551334	6.813222865	7.524386099	7.455191319	7.155717138	7.284542869	7.311659047	7.818070503	8.029418069
V3_9.txt	viet	7.377687057	7.858423749	6.766840833	6.636248517	7.624347782	7.361904124	7.003674266	7.321103401	7.096979703	7.403102274	7.096310412	7.691010717	7.520405929	7.502690799	7.261774178	7.366903926	7.599729383	8.176332608	8.170211921
