	ethnicity	MX00384	MX00028	MX00395	MX00398	MX00402
V5_2.txt	viet	7.190279888	6.543535521	6.88320118	7.10271738	6.662918019
V5_3.txt	viet	6.82395599	6.894991629	6.292975385	6.193579812	6.333227149
V5_4.txt	viet	7.036022935	6.913849866	6.917098069	7.028564218	6.212174016
V5_5.txt	viet	6.493991146	6.739088972	0	6.513217867	0
V5_6.txt	viet	6.707117252	6.79688579	7.10302019	7.279289236	7.43834582
V5_7.txt	viet	7.309712122	6.7356547	7.144001277	7.234666098	7.069153779
V5_8.txt	viet	6.729535726	6.847219281	7.173140009	7.155191937	7.15745293
V5_9.txt	viet	7.44032899	6.944132727	7.191464568	7.751614221	7.481105511
V6_1.txt	viet	0	9.114047541	0	0	0
V6_5.txt	viet	7.717116874	9.031826186	8.571002972	0	0
V6_6.txt	viet	0	0	7.842708511	0	8.517438225
V6_7.txt	viet	8.932035395	8.746111522	8.526484131	0	8.372532186
V7_1.txt	viet	8.489927129	0	8.908489304	8.560970061	9.499870188
V7_2.txt	viet	8.891062951	9.010478775	9.068078159	8.248181876	9.373235829
V7_3.txt	viet	8.673843232	9.143008412	9.090221111	8.814763811	9.313079414
V7_4.txt	viet	8.9606103	8.936690692	8.960991806	0	0
V7_5.txt	viet	8.941250747	9.452641724	8.950776962	0	9.367172969
V7_6.txt	viet	8.837741277	8.591517139	9.512567669	9.322404319	9.150063521
V8_1.txt	viet	8.879432823	8.938561079	9.038994762	8.886465352	8.891598497
V8_10.txt	viet	8.59659384	9.08984743	8.706112547	7.886717373	0
V8_3.txt	viet	8.37839292	8.466625418	8.339069931	8.11136814	8.316728101
V8_5.txt	viet	8.688200947	0	8.585353034	8.3945511	8.837579323
V8_6.txt	viet	8.955306806	8.705891182	8.903472315	8.090432653	8.797327683
V8_7.txt	viet	8.574804485	8.459293067	8.031331905	0	8.810505527
V8_8.txt	viet	8.869110744	8.053127259	7.829796588	0	8.613509165
V8_9.txt	viet	0	0	0	0	0
V9_1.txt	viet	8.731296806	8.538010027	8.914761651	0	9.05385156
V9_2.txt	viet	8.636641499	8.372154159	8.562524888	8.117204893	8.558608866
V9_3.txt	viet	8.214876321	8.951718528	8.819179417	8.19137298	8.884674369
V9_4.txt	viet	8.994177063	9.151526708	9.159613716	9.070948962	9.167335744
V9_5.txt	viet	9.399142812	9.214673837	9.301698718	0	9.309681643
V9_6.txt	viet	8.647990183	8.639256305	9.042178705	8.996061759	8.966923799
V9_8.txt	viet	8.616247403	8.405487154	0	8.53464236	9.181817822
V9_9.txt	viet	8.55328079	8.410953791	8.711217741	0	8.059340928
